id,name,text,trans
0000000000000,莉波,今日は町興しの一環で、\n商店街のイベントに参加するんだよね？,
0000000000000,莉波,具体的には、なにをしたらいいのかな？,
select,,入り口で\n呼び込みを,
select,,カラオケ大会\nイベントの案内を,
select,,天川のみなさんと\n交流を,
0000000000000,莉波,商店街をお客さんで\nいっぱいにできるようにがんばるね。,
0000000000000,{user},おお、商店街が人で溢れている……！\nさすが姫崎さん……！,
0000000000000,莉波,私も参加するんだもんね。\n人が多い方が嬉しいしがんばらなきゃ。,
0000000000000,{user},おお、商店街が人で溢れている……！\nさすが姫崎さん……！,
0000000000000,莉波,うん、地域の人に商店街のお話とか\n聞けたらいいな。,
0000000000000,{user},おお、商店街が人で溢れている……！\nさすが姫崎さん……！,
info,adv_pevent_002_hrnm_sales_2-002-02.txt,,
译者,,,
